CandidateID,exper,incent,ticket,member,earning fm,depend,work,Graduate,language_sorted,detected_languages,sentiment,CV_Score_1_to_5,Performance
EMP0578,4,5000,2000000,1,1,1,1,1,1,"['English', 'Hindi']",1,3.166833042,0
EMP0477,6,15000,2000000,3,1,2,1,0.43,1,"['English', 'Hindi']",1,3.199464688,0
EMP0368,5,5000,125000,1,0,2,1,0.08,1,"['English', 'Tamil']",1,3.166833042,0
EMP0313,10,0,0,3,0,5,1,0.43,-1,[],0,3.166833042,0
EMP0597,4,8000,125000,3,0,4,1,1,1,"['English', 'Hindi', 'Telugu', 'Urdu']",1,2.849508785,1
EMP0688,1,15000,125000,3,2,2,1,1,-1,[],1,3.166833042,1
EMP0118,4,15000,2000000,5,2,5,1,0.43,1,"['English', 'Tamil']",1,3.210341903,0
EMP0712,,15000,1200000,3,,0,,0,1,"['English', 'Hindi']",0,3.166833042,0
EMP0191,3,8000,2000000,5,35000,3,1,0.43,1,"['English', 'Tamil']",1,3.555863781,0
EMP0428,8,8000,2000000,1,2,2,1,1,1,"['English', 'Telugu']",1,3.166833042,0
EMP0626,3,8000,125000,3,1,3,1,1,-1,[],1,2.531504926,1
EMP0180,4,15000,2000000,5,2,3,1,0.43,1,"['English', 'Tamil']",1,3.944894519,1
EMP0207,1,15000,125000,3,2,3,1,0.43,1,"['English', 'Tamil']",1,3.555863781,0
EMP0032,1.5,5000,2000000,3,2,3,1,1,1,"['English', 'Hindi']",1,3.238539523,1
EMP0604,4,8000,400000,3,1,3,1,1,1,"['English', 'Hindi', 'Sanskrit']",1,3.166833042,0
EMP0563,11,15000,400000,5,1,5,1,0.43,1,"['English', 'Hindi', 'Marathi']",1,2.920535665,0
EMP0577,2,15000,125000,5,1,0,1,1,1,['Hindi'],1,4.610969262,0
EMP0897,,15000,1200000,3,,2,,0,-1,[],1,3.166833042,1
EMP0771,0,2000,400000,3,,2,,0,1,"['English', 'Hindi', 'Gujarati']",1,2.248697333,0
EMP0025,10,15000,2000000,3,1,3,1,1,1,"['Hindi', 'Marathi']",1,2.183434043,1
EMP0670,3.5,15000,1000000,5,1,2,1,1,1,"['English', 'Hindi', 'Kashmiri']",1,2.205188473,0
EMP0889,0,8000,1200000,5,,2,,0,1,"['English', 'Hindi', 'Gujarati']",1,3.166833042,0
EMP0635,2.5,15000,2000000,5,0,5,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.555863781,1
EMP0074,3,8000,400000,3,1,2,1,1,-1,[],1,3.372280688,0
EMP0785,4.833333333,15000,1200000,3,,2,1,1,1,"['English', 'Telugu']",1,4.610969262,1
EMP0227,0,0,0,3,2,1,1,0.08,1,"['English', 'Tamil']",1,3.832907785,0
EMP0687,2,8000,2000000,3,2,2,1,1,1,"['English', 'Hindi', 'Telugu']",1,3.832907785,1
EMP0805,1.833333333,5000,1200000,3,,3,1,1,1,"['English', 'Hindi']",1,3.832907785,0
EMP0149,0,0,0,5,1,4,1,1,1,"['English', 'Hindi', 'Telugu']",1,4.221938523,1
EMP0429,3,8000,1000000,5,6,5,1,1,1,"['English', 'Hindi', 'Gujarati']",1,3.166833042,0
EMP0868,,5000,1200000,5,,3,,0,0,['English'],1,2.572464781,1
EMP0596,10,15000,2000000,5,2,3,1,1,-1,[],1,2.183434043,0
EMP0778,3.666666667,15000,400000,3,,1,1,1,1,"['English', 'Hindi', 'Gujarati']",1,2.194311258,1
EMP0050,5,8000,125000,5,25,2,1,0.43,1,"['English', 'Hindi', 'Marathi']",1,3.166833042,0
EMP0800,4.5,8000,1200000,5,,2,1,0.43,1,"['English', 'Hindi', 'Gujarati']",1,3.166833042,0
EMP0783,,0,125000,3,,1,,0,1,"['English', 'Kannada', 'Tamil']",1,3.555863781,1
EMP0140,2.5,0,25000,3,1,3,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.166833042,0
EMP0616,5,5000,1000000,3,0,2,1,0.43,-1,[],0,2.183434043,0
EMP0007,5,15000,125000,1,4,5,1,0.43,1,"['English', 'Hindi']",1,3.199464688,1
EMP0554,4,5000,25000,5,3,0,1,1,1,"['English', 'Hindi']",1,2.183434043,0
EMP0335,1,5000,25000,3,1,3,1,0.43,1,"['English', 'Malayalam', 'Tamil']",1,4.221938523,0
EMP0446,8,5000,25000,5,2,3,0.5,1,1,"['English', 'Hindi']",1,3.166833042,0
EMP0435,6,5000,2000000,3,1,3,0.5,1,-1,[],1,3.166833042,1
EMP0620,11,0,1000000,5,0,4,0.5,1,1,"['English', 'Hindi', 'Gujarati']",1,3.944894519,1
EMP0606,6,15000,25000,5,1,5,1,1,1,"['English', 'Hindi']",1,2.183434043,0
EMP0746,0,5000,1200000,1,,2,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.832907785,0
EMP0256,7,5000,2000000,3,0,3,1,1,1,"['English', 'Tamil']",1,4.221938523,1
EMP0823,,8000,1200000,5,,1,,0,1,"['English', 'Hindi']",1,3.555863781,1
EMP0311,3,5000,125000,1,2,1,1,1,1,"['English', 'Tamil']",1,4.221938523,0
EMP0761,,8000,400000,5,,1,,0,1,"['English', 'Hindi']",1,3.832907785,0
EMP0363,2,5000,1000000,5,3,0,1,1,1,"['English', 'Hindi', 'Telugu']",1,4.610969262,0
EMP0125,3,15000,1000000,3,1,3,1,1,1,"['English', 'Kannada', 'Telugu']",1,3.832907785,1
EMP0001,4,5000,0,3,1,2,1,0.43,1,"['English', 'Hindi']",1,2.849508785,0
EMP0090,8.5,15000,0,5,0,4,1,0.43,1,"['English', 'Hindi', 'Kannada']",1,3.832907785,0
EMP0881,5.166666667,15000,1200000,1,,2,,0,1,"['English', 'Hindi']",1,3.555863781,1
EMP0146,7,15000,25000,5,2,2,1,1,1,"['English', 'Hindi']",1,3.832907785,1
EMP0272,5,5000,2000000,3,2,2,1,1,1,"['English', 'Tamil']",1,3.166833042,0
EMP0010,8,15000,2000000,5,0,5,1,1,1,"['English', 'Hindi', 'Gujarati']",1,3.832907785,0
EMP0358,9,15000,2000000,5,2,3,,1,1,"['English', 'Hindi']",1,3.832907785,1
EMP0373,5,15000,1000000,3,0,2,1,1,1,"['English', 'Hindi']",1,3.555863781,0
EMP0845,0,15000,1200000,5,,2,1,1,1,"['English', 'Hindi', 'Kannada', 'Telugu']",1,3.238539523,1
EMP0625,9,15000,1000000,5,2,3,1,1,1,"['English', 'Hindi']",1,2.248697333,0
EMP0665,6,15000,1000000,3,1,2,1,0.43,1,"['English', 'Hindi']",1,2.248697333,1
EMP0754,,15000,1200000,1,,4,,0,1,"['English', 'Hindi']",1,3.166833042,0
EMP0533,1,5000,1000000,5,1,1,1,0.43,1,"['English', 'Hindi']",1,3.238539523,0
EMP0427,3,5000,2000000,5,10000,5,1,1,1,"['English', 'Hindi', 'Gujarati']",1,3.210341903,0
EMP0054,6,5000,0,5,6,5,1,1,1,"['English', 'Tamil']",1,3.832907785,0
EMP0208,7,5000,125000,5,2,0,1,0.08,1,"['English', 'Tamil']",1,3.166833042,0
EMP0594,6,15000,1000000,1,2,1,0.5,1,-1,[],1,3.166833042,0
EMP0249,2,15000,125000,3,3,2,1,0.43,1,"['English', 'Tamil']",1,2.849508785,0
EMP0729,0,15000,400000,5,,1,1,1,1,"['English', 'Hindi']",1,3.166833042,1
EMP0708,0,2000,1200000,3,,4,1,1,1,"['English', 'Hindi', 'Telugu']",1,2.96149552,0
EMP0686,7,5000,2000000,5,2,4,1,0.43,1,"['English', 'Telugu']",1,3.238539523,0
EMP0199,6,5000,1000000,5,2,4,1,1,-1,[],1,3.166833042,1
EMP0572,0,0,0,5,1,3,1,1,0,"['English', 'Hindi']",1,3.832907785,0
EMP0069,3,15000,400000,3,2,1,1,1,1,"['English', 'Hindi']",1,3.944894519,1
EMP0828,3.166666667,5000,1200000,3,,3,1,1,-1,[],1,3.122497172,0
EMP0387,7,8000,0,5,1,4,1,0.43,1,"['English', 'Hindi']",1,3.166833042,0
EMP0055,10,15000,2000000,3,1,0,1,0.43,1,"['English', 'Hindi']",1,2.226942903,1
EMP0628,5,8000,400000,3,1,2,1,1,1,"['English', 'Kannada']",1,3.555863781,0
EMP0923,0,15000,1200000,5,,4,1,1,1,"['English', 'Hindi', 'Kannada']",1,2.572464781,1
EMP0662,4,5000,2000000,1,1,0,1,0.43,1,"['English', 'Hindi', 'Telugu']",1,4.610969262,0
EMP0524,4.7,15000,1000000,5,500000,2,1,0.43,-1,[],1,2.216065688,0
EMP0674,5,15000,400000,3,1,1,1,1,1,"['English', 'Hindi', 'Telugu']",1,3.577618211,0
EMP0811,0,5000,1200000,3,,2,1,1,1,['English'],1,3.555863781,1
EMP0587,5.5,5000,2000000,5,1,3,1,0.43,-1,[],1,3.566740996,1
EMP0084,5,5000,1000000,1,1,2,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.166833042,1
EMP0301,5,15000,400000,3,1,4,1,0.08,1,"['English', 'Tamil']",1,3.264727978,0
EMP0091,4,5000,2000000,3,2,4,1,0.43,-1,[],1,3.843785,1
EMP0421,3,15000,2000000,5,3,1,1,0.43,1,"['English', 'Hindi']",1,2.96149552,1
EMP0733,,15000,1200000,3,,3,,0,1,"['English', 'Hindi', 'Kannada', 'Tamil', 'Telugu']",1,2.572464781,1
EMP0013,1,5000,400000,3,0,4,1,1,1,"['English', 'Hindi']",1,3.555863781,0
EMP0222,5,5000,125000,3,1,3,1,0.43,1,"['English', 'Tamil']",1,3.314680029,0
EMP0487,1,15000,2000000,3,1,3,1,0.43,1,"['English', 'Hindi']",1,4.243692953,1
EMP0615,3,5000,400000,3,4,0,1,0.43,1,"['English', 'Hindi', 'Assamese', 'Bengali']",1,2.183434043,0
EMP0608,5,5000,125000,3,2,3,1,1,0,"['English', 'Hindi', 'Marathi']",1,2.849508785,0
EMP0924,0,15000,1200000,5,,3,,0,1,"['English', 'Tamil']",1,2.849508785,1
EMP0877,,5000,25000,5,,4,,0,1,"['English', 'Hindi', 'Gujarati', 'Marathi']",1,2.925649291,0
EMP0750,,15000,1200000,5,,2,,0,1,"['English', 'Hindi', 'Marathi']",1,3.210341903,0
EMP0725,5.916666667,2000,1200000,3,,2,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.832907785,0
EMP0181,16,8000,400000,1,0,2,1,1,1,"['English', 'Kannada', 'Tamil']",1,3.832907785,1
EMP0334,8,2000,125000,3,2,2,1,1,1,"['English', 'Hindi', 'Malayalam', 'Sanskrit']",1,3.555863781,1
EMP0779,,2000,1200000,5,,0,,0,1,"['English', 'Hindi', 'Punjabi']",-1,2.96149552,0
EMP0296,6,15000,125000,1,1,2,1,1,1,"['English', 'Tamil']",1,2.194311258,0
EMP0511,10,15000,1000000,5,1,5,1,1,1,"['English', 'Hindi', 'Marathi']",1,2.572464781,0
EMP0535,2,2000,25000,5,3,3,0.5,1,1,"['English', 'Hindi', 'Punjabi']",1,3.166833042,0
EMP0485,5,5000,400000,5,3,2,1,0.43,-1,[],1,3.838671374,0
EMP0011,2,15000,2000000,5,0,5,1,1,-1,[],1,3.166833042,0
EMP0809,7.4725,2000,400000,5,,4,1,1,1,"['English', 'Hindi']",1,4.461237255,0
EMP0912,,15000,1200000,3,,2,,0,1,"['English', 'Hindi', 'Kannada', 'Konkani']",1,2.88214043,0
EMP0061,7,5000,1000000,5,0,5,1,1,-1,[],1,3.555863781,1
EMP0410,7,15000,2000000,3,1,2,1,0.43,-1,[],1,2.183434043,0
EMP0499,5,8000,400000,5,1,1,1,1,-1,[],1,2.498873281,1
EMP0292,4,15000,400000,3,2,0,1,1,1,"['English', 'Hindi', 'Tamil', 'Telugu']",1,2.183434043,0
EMP0858,13.08333333,0,0,3,,2,1,0.43,1,"['English', 'Tamil']",1,2.226942903,0
EMP0522,3.8,5000,400000,1,0,2,1,0.43,1,"['English', 'Telugu']",1,3.832907785,1
EMP0602,3.5,5000,0,3,2,3,1,1,1,"['English', 'Hindi', 'Gujarati']",1,3.555863781,0
EMP0575,5,8000,125000,3,1,2,1,1,1,"['English', 'Hindi', 'Assamese']",1,3.166833042,0
EMP0170,5,15000,2000000,1,1,2,1,1,1,"['English', 'Tamil']",1,3.166833042,1
EMP0667,3,0,1000000,5,3,2,1,0.03,1,"['English', 'Hindi']",1,3.832907785,0
EMP0583,0,0,0,5,0,4,1,1,1,"['English', 'Telugu']",1,3.627570262,1
EMP0333,2.3,5000,1000000,1,1,1,1,1,1,"['English', 'Hindi', 'Kannada', 'Malayalam', 'Tamil']",1,2.96149552,0
EMP0341,4,15000,2000000,5,0,4,1,1,1,"['English', 'Hindi']",1,3.849548589,0
EMP0342,3,15000,125000,3,2,2,1,0.08,1,"['English', 'Tamil']",1,3.143193593,0
EMP0536,1,15000,1000000,3,2,2,1,0.03,1,"['English', 'Telugu']",1,3.166833042,1
EMP0176,2,15000,1000000,5,5,5,1,1,1,"['English', 'Kannada']",1,2.849508785,1
EMP0008,4,8000,2000000,5,3,4,1,0.43,1,"['English', 'Hindi', 'Marathi']",1,2.183434043,0
EMP0762,3.5,15000,400000,3,,2,,0,-1,[],1,3.832907785,0
EMP0323,1.5,15000,125000,5,2,4,1,0.43,-1,[],1,2.626850857,1
EMP0242,6,8000,1000000,3,3,2,1,0.43,1,"['English', 'Tamil']",1,2.572464781,0
EMP0361,5,8000,2000000,3,0,3,1,1,0,['Sanskrit'],1,3.832907785,0
EMP0537,2.8,0,1000000,3,1,2,1,0.43,1,"['English', 'Hindi', 'Bengali']",1,3.166833042,0
EMP0751,0,8000,1200000,5,,2,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.555863781,0
EMP0654,4,8000,2000000,3,0,4,1,1,1,"['English', 'Hindi', 'Telugu']",1,4.610969262,1
EMP0504,3,5000,2000000,5,3,2,1,1,1,"['English', 'Hindi']",1,2.994127165,0
EMP0006,1,0,125000,3,1,1,1,0.43,1,"['English', 'Hindi']",1,3.555863781,0
EMP0607,2,5000,25000,5,0,4,1,1,1,"['English', 'Tamil']",1,2.849508785,0
EMP0925,4.833333333,15000,1200000,3,,3,1,1,1,"['English', 'Kannada', 'Telugu']",1,2.849508785,0
EMP0749,0,2000,0,3,,4,1,1,1,"['English', 'Hindi']",1,3.944894519,0
EMP0685,5,5000,25000,5,0,5,1,1,1,"['English', 'Hindi']",1,2.849508785,0
EMP0882,,5000,1200000,3,,1,,0,1,"['English', 'Hindi']",1,2.990912581,0
EMP0348,1,5000,125000,3,1,2,1,1,1,"['English', 'Hindi', 'Bengali']",1,4.221938523,0
EMP0473,1.5,15000,25000,1,1,1,0.5,1,1,"['English', 'Kannada']",1,4.333925258,0
EMP0498,0,0,0,3,4,3,1,1,-1,[],0,1,0
EMP0728,,8000,25000,5,,2,,0,1,"['English', 'Hindi']",1,2.301610651,1
EMP0656,6,15000,2000000,3,0,2,1,1,1,"['English', 'Hindi', 'Marathi']",-1,3.210341903,0
EMP0545,8,8000,1000000,3,3,2,1,1,1,"['English', 'Hindi', 'Assamese']",1,3.555863781,0
EMP0143,5,5000,2000000,5,2,0,1,1,1,"['English', 'Hindi']",0,3.555863781,1
EMP0297,1.5,15000,1000000,1,1,1,1,0.43,1,"['English', 'Kannada', 'Tamil']",1,2.96149552,1
EMP0164,10,0,2000000,5,1,5,,0.08,1,"['English', 'Bengali']",1,3.166833042,0
EMP0062,0,0,0,3,1,2,1,0.43,-1,[],1,3.660201907,0
EMP0265,6,5000,400000,3,1,3,1,1,-1,[],1,3.166833042,0
EMP0592,20,15000,2000000,3,0,3,1,0.03,1,"['English', 'Hindi', 'Bengali']",1,2.96149552,0
EMP0864,,15000,1200000,5,,5,,0,1,"['English', 'Hindi']",1,3.854662215,1
EMP0846,,15000,400000,1,,2,,0,1,"['English', 'Hindi']",1,2.183434043,1
EMP0416,6,5000,1000000,5,3,2,1,1,1,"['English', 'Hindi']",1,3.238539523,0
EMP0642,5,8000,1000000,5,3,2,1,1,1,"['English', 'Hindi']",1,3.898171075,1
EMP0377,2,15000,25000,3,1,3,1,0.03,1,"['English', 'Hindi']",1,3.166833042,0
EMP0099,5,5000,400000,5,2,4,1,0.43,1,"['English', 'Hindi', 'Telugu']",1,2.572464781,1
EMP0213,3,0,25000,1,1,2,1,1,1,"['English', 'Tamil']",1,2.183434043,0
EMP0102,7,15000,1000000,5,3,2,1,1,1,"['English', 'Hindi']",1,4.613502651,1
EMP0114,1,5000,400000,3,2,3,1,0.43,1,"['English', 'Tamil']",1,3.264727978,0
EMP0649,4,15000,2000000,3,3,1,1,0.43,1,"['English', 'Hindi']",1,3.210341903,1
EMP0732,,5000,1200000,5,,5,,0,1,"['English', 'Hindi']",1,3.166833042,0
EMP0698,4,5000,125000,5,3,3,1,1,1,"['English', 'Hindi', 'Marathi']",1,3.166833042,0
EMP0814,1.25,5000,1200000,5,,2,1,1,1,"['English', 'Hindi']",1,2.194311258,0
EMP0636,1,5000,25000,3,30000,2,1,0.08,1,"['English', 'Hindi', 'Telugu']",1,3.555863781,0
EMP0727,3.3725,0,25000,5,,1,1,1,-1,[],1,3.832907785,0
EMP0475,0,5000,0,3,1,3,1,1,1,"['English', 'Hindi']",1,3.177710258,0
EMP0447,2,5000,1000000,1,1,2,1,1,1,"['English', 'Hindi', 'Kannada']",1,3.166833042,1
EMP0467,4,15000,400000,5,2,5,1,0.43,1,"['English', 'Hindi', 'Marathi']",1,2.183434043,0
EMP0697,9,15000,2000000,3,0,2,1,1,1,"['English', 'Hindi', 'Punjabi']",1,2.183434043,1
EMP0516,7,8000,2000000,5,1,3,1,1,1,"['English', 'Hindi']",1,3.555863781,0
EMP0409,1.7,15000,2000000,3,0,3,,1,1,"['English', 'Hindi', 'Marathi']",1,3.660201907,1
EMP0092,10,8000,25000,5,1,4,1,0.43,1,['Punjabi'],1,3.627570262,1
EMP0380,7,15000,400000,5,2,1,1,1,1,"['English', 'Hindi']",1,3.555863781,1
EMP0058,10,15000,1000000,5,1,4,1,1,1,"['English', 'Tamil']",1,3.238539523,1
EMP0021,6,15000,125000,5,3,3,1,0.43,1,"['English', 'Hindi', 'Kannada']",1,2.849508785,0
EMP0479,3,8000,25000,3,2,1,1,1,1,"['English', 'Hindi']",1,2.183434043,1
EMP0386,12,15000,25000,3,1,0,1,1,-1,[],1,2.97492174,0
EMP0053,1,5000,0,5,8,3,1,1,1,"['English', 'Hindi', 'Marathi']",1,2.183434043,0
EMP0267,4,15000,1000000,3,7000,3,1,0.43,1,"['English', 'Tamil']",0,2.572464781,1
EMP0646,2,15000,1000000,5,2,3,1,1,1,"['English', 'Hindi', 'Telugu']",1,2.849508785,0
EMP0663,1,2000,400000,3,1,1,1,1,1,"['English', 'Telugu']",1,3.555863781,0
EMP0684,3,15000,2000000,3,50000,2,1,1,1,"['English', 'Tamil']",1,3.222548682,1
EMP0229,10,15000,2000000,3,0,2,1,0.08,1,"['English', 'Tamil']",1,3.944894519,0
EMP0807,,5000,400000,5,,5,,0,1,"['English', 'Hindi', 'Gujarati']",1,2.183434043,1
EMP0338,5,5000,25000,5,5,2,1,1,1,"['English', 'Hindi', 'Malayalam']",1,3.555863781,0
EMP0261,4,15000,125000,3,1,2,1,0.43,1,"['English', 'Tamil']",1,2.183434043,0
EMP0827,0,15000,0,5,,5,,0,-1,[],1,3.555863781,1
EMP0395,7,5000,1000000,3,2,2,1,0.43,1,"['English', 'Hindi', 'Marathi']",1,3.012667011,0
EMP0840,,15000,400000,3,,1,,0,1,"['English', 'Hindi', 'Kannada']",1,3.238539523,1
EMP0871,0,15000,1200000,5,,4,,0,1,"['English', 'Hindi', 'Marathi']",0,3.166833042,0
EMP0637,2.6,15000,25000,5,2,4,1,1,1,"['English', 'Hindi', 'Telugu']",1,3.166833042,1
EMP0818,,5000,400000,3,,2,,0,1,"['English', 'Hindi']",1,3.166833042,0
EMP0339,7,5000,125000,3,1,1,1,1,1,"['English', 'Malayalam']",1,3.832907785,0
EMP0393,3,15000,2000000,3,1,3,,0.08,1,"['English', 'Malayalam', 'Tamil']",1,3.166833042,1
EMP0503,6.5,15000,25000,3,2,1,0.5,0.43,1,"['English', 'Hindi', 'Gujarati']",1,4.722955996,0
EMP0402,1.5,8000,1000000,3,600000,2,1,1,1,"['English', 'Hindi']",1,3.832907785,1
EMP0336,4,15000,25000,5,2,1,,1,-1,[],1,3.166833042,0
EMP0782,3.5,8000,400000,3,,2,1,1,1,"['English', 'Hindi']",1,4.221938523,1
EMP0510,5,5000,400000,3,3,1,1,1,1,"['English', 'Hindi', 'Bengali']",1,3.166833042,0
EMP0185,9,15000,1000000,3,2,3,1,0.43,1,"['English', 'Hindi', 'Gujarati']",1,3.555863781,1
EMP0093,1,5000,125000,3,2,3,1,1,1,"['English', 'Hindi']",1,3.177710258,0
EMP0766,,15000,1200000,5,,3,,0,-1,[],1,3.166833042,1
EMP0565,6,15000,400000,5,1,5,1,1,1,"['English', 'Hindi', 'Telugu']",1,2.849508785,1
EMP0028,2,8000,125000,3,5,4,1,1,1,"['English', 'Hindi']",1,3.832907785,1
EMP0798,,5000,1200000,5,,5,,0,1,"['English', 'Hindi', 'Telugu']",1,2.96149552,0
EMP0269,0,0,0,3,0,4,1,0.08,1,"['English', 'Tamil']",1,2.572464781,0
EMP0817,0,8000,400000,3,,3,,0,1,"['English', 'Hindi', 'Malayalam']",1,2.871263215,0
EMP0295,5,5000,2000000,3,2,3,1,0.43,1,"['English', 'Tamil']",1,3.166833042,0
EMP0225,4,5000,1000000,3,0,2,1,0.08,1,"['English', 'Tamil']",1,3.577618211,1
EMP0027,4,5000,400000,3,6,3,1,1,1,"['English', 'Hindi']",1,3.876416645,1
EMP0178,6,15000,2000000,3,1,3,1,0.08,-1,[],1,2.292206194,1
EMP0303,5,8000,1000000,1,0,2,1,0.43,1,"['English', 'Tamil']",1,2.96149552,0
EMP0553,5,8000,0,1,0,1,1,1,1,"['English', 'Hindi', 'Bengali']",1,3.166833042,0
EMP0891,0,15000,400000,3,,3,,0,1,"['English', 'Hindi', 'Kannada']",1,4.570009406,1
EMP0215,0,0,0,3,1,2,1,0.08,1,"['English', 'Tamil']",1,4.221938523,1
EMP0886,0,5000,400000,3,,3,1,1,1,"['English', 'Hindi', 'Telugu']",1,3.166833042,0
EMP0911,3,15000,1200000,3,,3,1,1,1,"['English', 'Kannada', 'Tamil', 'Telugu']",1,4.221938523,0
EMP0209,1.5,8000,1000000,3,30000,3,1,0.08,1,"['English', 'Malayalam', 'Tamil']",1,4.221938523,0
EMP0791,3.916666667,15000,1200000,5,,3,1,1,1,"['English', 'Hindi']",1,4.610969262,1
EMP0617,6,15000,2000000,5,2,5,1,1,-1,[],1,2.572464781,0
EMP0569,6,15000,125000,5,3,2,1,0.43,1,"['English', 'Hindi']",1,3.166833042,1
EMP0681,1.5,8000,400000,3,2,3,1,0.43,1,"['English', 'Hindi', 'Marathi']",-1,3.166833042,0
EMP0260,4,8000,2000000,1,0,1,1,1,1,"['English', 'Tamil']",1,3.843785,0
EMP0419,2,5000,125000,3,0,3,1,0.43,-1,[],1,3.238539523,1
EMP0343,5.9,15000,2000000,5,1,5,,0.03,-1,[],-1,3.166833042,1
EMP0159,1.5,2000,2000000,3,0,3,1,1,1,"['English', 'Hindi', 'Punjabi']",1,3.166833042,0
EMP0121,3,5000,2000000,3,1,2,1,1,1,"['English', 'Hindi']",1,3.555863781,0
EMP0002,8,8000,1000000,5,0,4,1,1,-1,[],0,3.166833042,1
EMP0385,4,15000,2000000,1,2,1,1,0.43,1,"['English', 'Hindi', 'Assamese', 'Bengali']",1,3.238539523,0
EMP0086,2,15000,2000000,3,4,4,1,0.43,1,"['English', 'Hindi', 'Telugu']",1,3.627570262,0
EMP0113,7,5000,25000,3,500000,3,1,1,1,"['English', 'Hindi']",1,3.832907785,0
EMP0145,10,15000,2000000,3,1,1,1,1,1,"['English', 'Hindi']",1,2.183434043,1
EMP0836,9,5000,1200000,1,,2,1,1,-1,[],1,3.832907785,1
EMP0035,2,0,25000,5,3,0,1,0.43,-1,[],1,2.572464781,1
EMP0734,,15000,400000,3,,3,,0,1,"['English', 'Hindi']",1,2.237820118,1
EMP0250,6,8000,400000,3,1,5,1,1,-1,[],1,3.610249856,0
EMP0302,8,2000,25000,3,2,3,1,0.43,1,"['English', 'Tamil']",1,3.238539523,0
EMP0130,4,0,0,5,2,3,1,1,1,"['English', 'Hindi', 'Arabic', 'Urdu']",1,3.555863781,0
EMP0546,2,8000,125000,3,1,4,1,1,1,"['English', 'Hindi', 'Punjabi']",-1,3.555863781,1
EMP0305,7,5000,25000,3,1,2,1,1,1,"['English', 'Tamil']",1,3.832907785,1
EMP0344,31032023,5000,1000000,3,0,3,1,1,1,"['English', 'Hindi', 'Marathi']",1,5,1
EMP0016,6,15000,2000000,3,1,1,1,1,1,"['English', 'Telugu']",1,2.96149552,1
